freq_hz,rel_dB_onaxis,angle_deg
20000,3.887530562,0
20000,3.007334963,30
20000,1.980440098,60
20000,0.562347188,90
30000,6.723716381,0
30000,5.354523227,30
30000,3.349633252,60
30000,0.562347188,90
40000,8.04400978,0
40000,6.577017115,30
40000,3.545232274,60
40000,-0.317848411,90
50000,8.288508557,0
50000,7.06601467,30
50000,3.594132029,60
60000,7.848410758,0
60000,6.039119804,30
60000,2.17603912,60
60000,-3.15403423,90
70000,7.163814181,0
70000,5.061124694,30
70000,0.171149144,60
70000,-5.207823961,90
80000,6.332518337,0
80000,4.229828851,30
80000,-1.73594132,60
80000,-8.190709046,90
90000,5.550122249,0
90000,4.083129584,30
90000,-2.322738386,60
90000,-9.902200489,90
