frequency,rel_db
10337.67693,1.108659949
10984.12082,1.348464139
11630.52801,1.56741579
12277.02695,1.838498787
12923.52588,2.109581784
13570.2083,2.484927472
14216.94577,2.891551967
14863.68324,3.298176462
15510.5308,3.767358573
16157.41506,4.257393221
16804.35436,4.778706676
17451.33036,5.32087267
18098.34306,5.883891202
18745.50255,6.530319887
19392.64369,7.166322303
20039.98666,7.917013679
20687.25624,8.625999979
21334.52583,9.334986278
21981.55687,9.90843108
22628.31269,10.32548184
23274.73823,10.55485976
23920.87019,10.61741738
24566.76362,10.5444335
25212.51025,10.38803946
25857.94496,10.05439885
26503.36132,9.710331966
27148.50245,9.209871049
27793.60688,8.688557593
28438.49113,8.042128909
29083.30198,7.353995147
29728.00274,6.603303771
30372.68515,5.842186126
31017.40426,5.101921019
31662.10502,4.351229643
32306.80578,3.600538267
32951.50654,2.849846891
33596.18895,2.088729245
34240.90805,1.348464139
34885.829,0.722887992
35530.78664,0.118164383
36175.96447,-0.361443996
36821.34413,-0.726363415
37466.85223,-1.01829895
38112.37868,-1.299808216
38757.94183,-1.560464944
39403.68847,-1.71685898
40049.17822,-2.019220785
40694.74137,-2.279877513
41339.99259,-2.717780815
41985.24382,-3.155684118
42630.3299,-3.687423843
43275.52607,-4.156605953
43920.72225,-4.625788063
44565.97347,-5.063691365
45211.49992,-5.345200632
45857.13647,-5.564152283
46502.90145,-5.71012005
47148.73983,-5.814382742
47794.57821,-5.918645433
48440.52668,-5.960350509
49086.40176,-6.043760662
49732.29519,-6.116744546
50378.13357,-6.221007237
51023.88021,-6.377401274
51669.66354,-6.512942772
52315.39183,-6.679763078
52960.88158,-6.982124882
53606.60987,-7.148945188
54252.28311,-7.347044301
54898.13984,-7.440880723
55544.05162,-7.503438338
56189.98174,-7.555569683
56836.13205,-7.4825858
57482.55759,-7.253207879
58128.52441,-7.284486686
58774.78481,-7.148945188
59420.84338,-7.12809265
60066.64506,-7.253207879
60712.44674,-7.378323108
61358.34017,-7.451306992
62004.1602,-7.565995952
62649.83344,-7.764095066
63296.02045,-7.670258644
63942.09736,-7.638979836
64588.32106,-7.524290876
65234.94844,-7.180223995
65881.66756,-6.784025769
66528.03805,-6.585926656
67174.70212,-6.221007237
67820.79739,-6.17930216
68466.8743,-6.148023353
69112.87782,-6.158449622
69758.99143,-6.106318277
70405.17844,-6.012481855
71051.03517,-6.106318277
71697.44236,-5.887366625
72343.40918,-5.918645433
72989.99986,-5.59543109
73636.86576,-5.115822711
74283.3647,-4.844739714
74930.15721,-4.406836411
75576.80294,-4.052343262
76223.19178,-3.843817879
76869.32374,-3.781260265
77515.78598,-3.531029806
78161.82619,-3.520603537
78807.64622,-3.635292497
79453.11763,-3.94808057
79937.45054,-4.052343262
