,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,channel9,channel10
channel1,0.0,1.2228842954261863,1.2124990721645936,1.2119925742346775,3.505266038405644,3.3944479669012457,3.7972499259332406,4.382543325513166,4.202478435399757,3.8773656005076433
channel2,1.2228842954261863,0.0,2.1097431123243418,2.105880813341534,4.581186745811613,4.463313903368213,4.932107967188067,5.569453653636055,5.364505662220891,4.961070247436534
channel3,1.2124990721645936,2.1097431123243418,0.0,2.1017340459725156,2.8271243340185803,2.4853480641552,2.887438484193213,3.645172972576199,3.615932659771196,3.1922202304978895
channel4,1.2119925742346775,2.105880813341534,2.1017340459725156,0.0,3.5303339785351757,3.6095208823332774,3.890193439920437,4.225825363168715,3.9536933366157774,3.843585045240966
channel5,3.505266038405644,4.581186745811613,2.8271243340185803,3.5303339785351757,0.0,0.8477989148377109,1.8324532736198216,2.444450449487574,3.127466226836031,3.3149790346245025
channel6,3.3944479669012457,4.463313903368213,2.4853480641552,3.6095208823332774,0.8477989148377109,0.0,1.2246248405123914,2.0986093014184424,2.76361755675419,2.7734839101750706
channel7,3.7972499259332406,4.932107967188067,2.887438484193213,3.890193439920437,1.8324532736198216,1.2246248405123914,0.0,1.0289047574970196,1.685527217223145,1.7076846898651985
channel8,4.382543325513166,5.569453653636055,3.645172972576199,4.225825363168715,2.444450449487574,2.0986093014184424,1.0289047574970196,0.0,1.0112620827461096,1.5146306480459186
channel9,4.202478435399757,5.364505662220891,3.615932659771196,3.9536933366157774,3.127466226836031,2.76361755675419,1.685527217223145,1.0112620827461096,0.0,0.873091633220706
channel10,3.8773656005076433,4.961070247436534,3.1922202304978895,3.843585045240966,3.3149790346245025,2.7734839101750706,1.7076846898651985,1.5146306480459186,0.873091633220706,0.0
